6873100.00
29382,0,100.00
51489,-2728.00,0.00,100.00
51565,-2642.00,0.00,100.00
51642,-2538.00,0.00,100.00
51718,-2257.00,0.00,100.00
51793,-1970.00,0.00,100.00
51869,-1812.00,0.00,100.00
51946,-1677.00,0.00,100.00
52022,-1533.00,0.00,100.00
52098,-1430.00,0.00,100.00
52174,-1294.00,0.00,100.00
52250,-1197.00,0.00,100.00
52326,-1137.00,0.00,100.00
52402,-1054.00,0.00,100.00
52478,-984.00,0.00,100.00
52554,-937.00,0.00,100.00
52630,-949.00,0.00,100.00
52704,-844.00,0.00,100.00
52781,-647.00,0.00,100.00
52856,2718.00,0.00,100.00
52933,7288.00,0.00,100.00
53009,-16061.00,0.00,100.00
53086,14623.00,0.00,100.00
53161,-7450.00,0.00,100.00
53238,-14092.00,0.00,100.00
53315,-5088.00,0.00,100.00
53391,-5850.00,0.00,100.00
53468,-4132.00,0.00,100.00
53544,-3646.00,0.00,100.00
53617,-3549.00,0.00,100.00
53691,-3299.00,0.00,100.00
53764,-3088.00,0.00,100.00
53836,-3098.00,0.00,100.00
53909,-2860.00,0.00,100.00
53983,-2741.00,0.00,100.00
54055,-2651.00,0.00,100.00
54128,-2505.00,0.00,100.00
54201,-2288.00,0.00,100.00
54275,-1970.00,0.00,100.00
54347,-1854.00,0.00,100.00
54420,-1691.00,0.00,100.00
54493,-1520.00,0.00,100.00
54566,-1456.00,0.00,100.00
54639,-1356.00,0.00,100.00
54712,-1294.00,0.00,100.00
54785,-1173.00,0.00,100.00
54858,-1114.00,0.00,100.00
54931,-1054.00,0.00,100.00
55005,-984.00,0.00,100.00
